id,station_name,latitude,longitude,key,filename,title,rel_folder,date_start,date_end
kg_96001,Stasiun Meteorologi Maimun Saleh,5.87655,95.33785,/stations/stakg_96001,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_96009,Stasiun Meteorologi Malikussaleh,5.22869,96.94749,/stations/stakg_96009,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_96011,Stasiun Meteorologi Sultan Iskandar Muda,5.52244,95.417,/stations/stakg_96011,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_96015,Stasiun Meteorologi Cut Nyak Dhien Nagan Raya,4.04928,96.24796,/stations/stakg_96015,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_96017,Stasiun Klimatologi Aceh,5.404,95.464,/stations/stakg_96017,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_96031,Stasiun Klimatologi Sumatera Utara,3.62114,98.71485,/stations/stakg_96031,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_96033,Stasiun Meteorologi Maritim Belawan,3.78824,98.71492,/stations/stakg_96033,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_96035,Stasiun Meteorologi Kualanamu,3.64573,98.88488,/stations/stakg_96035,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_96037,Stasiun Geofisika Deli Serdang,3.501,98.56,/stations/stakg_96037,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_96039,Stasiun Geofisika Aceh Selatan,3.17333,97.28637,/stations/stakg_96039,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2017-11-01
kg_96041,Balai Besar Meteorologi Klimatologi dan Geofisika Wilayah I,3.5397,98.64,/stations/stakg_96041,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_96043,Stasiun Meteorologi Silangit,2.26136,98.99357,/stations/stakg_96043,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2020-04-01,2020-12-01
kg_96071,Stasiun Meteorologi Aek Godang,1.55,99.45,/stations/stakg_96071,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_96073,Stasiun Meteorologi FL Tobing,1.55,98.88,/stations/stakg_96073,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_96075,Stasiun Meteorologi Binaka,1.1649,97.7036,/stations/stakg_96075,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_96077,Stasiun Geofisika Gunungsitoli,1.3,97.58,/stations/stakg_96077,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2014-01-01,2020-12-01
kg_96087,Stasiun Meteorologi Hang Nadim,1.11667,104.11667,/stations/stakg_96087,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_96089,Stasiun Meteorologi Raja Haji Abdullah ,1.03,103.38,/stations/stakg_96089,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_96091,Stasiun Meteorologi Raja Haji Fisabilillah,0.9227,104.5289,/stations/stakg_96091,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_96107,Stasiun Klimatologi Riau,0.407,101.217,/stations/stakg_96107,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2017-01-01,2020-12-01
kg_96109,Stasiun Meteorologi Sultan Syarif Kasim II,0.45924,101.44743,/stations/stakg_96109,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_96145,Stasiun Meteorologi Tarempa,3.2,106.25,/stations/stakg_96145,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_96147,Stasiun Meteorologi Ranai,3.91206,108.39,/stations/stakg_96147,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,/stations/stakg_96161,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_96163,Stasiun Meteorologi Minangkabau,-0.79355,100.28917,/stations/stakg_96163,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_96165,Stasiun Geofisika Padang Panjang,-0.4663,100.3797,/stations/stakg_96165,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_96167,Stasiun Klimatologi Sumatera Barat,-0.54549,100.29786,/stations/stakg_96167,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_96169,Stasiun Pemantau Atmosfer Global Bukit Koto Tabang,-0.2505,100.3823,/stations/stakg_96169,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2016-01-01,2020-12-01
kg_96171,Stasiun Meteorologi Japura,-0.33,102.32,/stations/stakg_96171,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_96179,Stasiun Meteorologi Dabo ,-0.48,104.58,/stations/stakg_96179,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_96191,Stasiun Klimatologi Jambi,-1.6019,103.48444,/stations/stakg_96191,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
